,Value,Years,Crime,State
939,4,2004,IMMORAL TRAFFIC(PREVENTION)ACT,Himachal Pradesh
940,4,2005,IMMORAL TRAFFIC(PREVENTION)ACT,Himachal Pradesh
941,0,2006,IMMORAL TRAFFIC(PREVENTION)ACT,Himachal Pradesh
942,0,2007,IMMORAL TRAFFIC(PREVENTION)ACT,Himachal Pradesh
943,1,2008,IMMORAL TRAFFIC(PREVENTION)ACT,Himachal Pradesh
944,5,2009,IMMORAL TRAFFIC(PREVENTION)ACT,Himachal Pradesh
945,1,2010,IMMORAL TRAFFIC(PREVENTION)ACT,Himachal Pradesh
946,2,2011,IMMORAL TRAFFIC(PREVENTION)ACT,Himachal Pradesh
947,6,2012,IMMORAL TRAFFIC(PREVENTION)ACT,Himachal Pradesh
948,0,2001,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
949,0,2002,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
950,0,2003,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
951,2,2004,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
952,0,2005,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
953,0,2006,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
954,0,2007,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
955,0,2008,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
956,0,2009,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
957,0,2010,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
958,0,2011,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
959,0,2012,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Himachal Pradesh
960,890,2001,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
961,838,2002,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
962,729,2003,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
963,823,2004,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
964,793,2005,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
965,792,2006,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
966,1018,2007,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
967,979,2008,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
968,954,2009,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
969,1028,2010,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
970,997,2011,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
971,912,2012,TOTAL CRIMES AGAINST WOMEN,Himachal Pradesh
972,169,2001,RAPE,Jammu & Kashmir
973,192,2002,RAPE,Jammu & Kashmir
974,211,2003,RAPE,Jammu & Kashmir
975,218,2004,RAPE,Jammu & Kashmir
976,201,2005,RAPE,Jammu & Kashmir
977,250,2006,RAPE,Jammu & Kashmir
978,288,2007,RAPE,Jammu & Kashmir
979,219,2008,RAPE,Jammu & Kashmir
980,237,2009,RAPE,Jammu & Kashmir
981,245,2010,RAPE,Jammu & Kashmir
982,277,2011,RAPE,Jammu & Kashmir
983,303,2012,RAPE,Jammu & Kashmir
984,504,2001,KIDNAPPING & ABDUCTION,Jammu & Kashmir
985,596,2002,KIDNAPPING & ABDUCTION,Jammu & Kashmir
986,615,2003,KIDNAPPING & ABDUCTION,Jammu & Kashmir
987,632,2004,KIDNAPPING & ABDUCTION,Jammu & Kashmir
988,658,2005,KIDNAPPING & ABDUCTION,Jammu & Kashmir
989,723,2006,KIDNAPPING & ABDUCTION,Jammu & Kashmir
990,707,2007,KIDNAPPING & ABDUCTION,Jammu & Kashmir
991,656,2008,KIDNAPPING & ABDUCTION,Jammu & Kashmir
992,825,2009,KIDNAPPING & ABDUCTION,Jammu & Kashmir
993,840,2010,KIDNAPPING & ABDUCTION,Jammu & Kashmir
994,1023,2011,KIDNAPPING & ABDUCTION,Jammu & Kashmir
995,1041,2012,KIDNAPPING & ABDUCTION,Jammu & Kashmir
996,13,2001,DOWRY DEATH,Jammu & Kashmir
997,18,2002,DOWRY DEATH,Jammu & Kashmir
998,10,2003,DOWRY DEATH,Jammu & Kashmir
999,9,2004,DOWRY DEATH,Jammu & Kashmir
1000,5,2005,DOWRY DEATH,Jammu & Kashmir
1001,10,2006,DOWRY DEATH,Jammu & Kashmir
1002,9,2007,DOWRY DEATH,Jammu & Kashmir
1003,21,2008,DOWRY DEATH,Jammu & Kashmir
1004,12,2009,DOWRY DEATH,Jammu & Kashmir
1005,9,2010,DOWRY DEATH,Jammu & Kashmir
1006,11,2011,DOWRY DEATH,Jammu & Kashmir
1007,8,2012,DOWRY DEATH,Jammu & Kashmir
1008,622,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1009,785,2002,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1010,875,2003,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1011,990,2004,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1012,830,2005,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1013,960,2006,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1014,986,2007,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1015,935,2008,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1016,972,2009,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1017,1038,2010,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1018,1194,2011,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1019,1322,2012,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jammu & Kashmir
1020,288,2001,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1021,368,2002,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1022,376,2003,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1023,264,2004,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1024,371,2005,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1025,347,2006,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1026,353,2007,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1027,296,2008,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1028,371,2009,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1029,262,2010,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1030,350,2011,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1031,347,2012,INSULT TO THE MODESTY OF WOMEN,Jammu & Kashmir
1032,50,2001,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1033,54,2002,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1034,71,2003,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1035,82,2004,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1036,76,2005,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1037,135,2006,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1038,176,2007,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1039,162,2008,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1040,196,2009,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1041,211,2010,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1042,286,2011,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1043,301,2012,CRUELTY BY HUSBAND OR RELATIVES,Jammu & Kashmir
1044,7,2001,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1045,3,2002,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1046,2,2003,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1047,11,2004,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1048,3,2005,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1049,5,2006,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1050,1,2007,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1051,4,2008,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1052,6,2009,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1053,4,2010,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1054,2,2011,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1055,3,2012,IMMORAL TRAFFIC(PREVENTION)ACT,Jammu & Kashmir
1056,0,2001,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1057,0,2002,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1058,0,2003,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1059,0,2004,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1060,0,2005,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1061,0,2006,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1062,0,2007,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1063,0,2008,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1064,2,2009,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1065,0,2010,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1066,0,2011,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1067,0,2012,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jammu & Kashmir
1068,1656,2001,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1069,2016,2002,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1070,2164,2003,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1071,2208,2004,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1072,2144,2005,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1073,2432,2006,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1074,2521,2007,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1075,2295,2008,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1076,2624,2009,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1077,2611,2010,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1078,3146,2011,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1079,3328,2012,TOTAL CRIMES AGAINST WOMEN,Jammu & Kashmir
1080,567,2001,RAPE,Jharkhand
1081,797,2002,RAPE,Jharkhand
1082,712,2003,RAPE,Jharkhand
1083,797,2004,RAPE,Jharkhand
1084,753,2005,RAPE,Jharkhand
1085,799,2006,RAPE,Jharkhand
1086,855,2007,RAPE,Jharkhand
1087,791,2008,RAPE,Jharkhand
1088,719,2009,RAPE,Jharkhand
1089,773,2010,RAPE,Jharkhand
1090,784,2011,RAPE,Jharkhand
1091,812,2012,RAPE,Jharkhand
1092,279,2001,KIDNAPPING & ABDUCTION,Jharkhand
1093,178,2002,KIDNAPPING & ABDUCTION,Jharkhand
1094,262,2003,KIDNAPPING & ABDUCTION,Jharkhand
1095,178,2004,KIDNAPPING & ABDUCTION,Jharkhand
1096,283,2005,KIDNAPPING & ABDUCTION,Jharkhand
1097,410,2006,KIDNAPPING & ABDUCTION,Jharkhand
1098,534,2007,KIDNAPPING & ABDUCTION,Jharkhand
1099,499,2008,KIDNAPPING & ABDUCTION,Jharkhand
1100,517,2009,KIDNAPPING & ABDUCTION,Jharkhand
1101,696,2010,KIDNAPPING & ABDUCTION,Jharkhand
1102,660,2011,KIDNAPPING & ABDUCTION,Jharkhand
1103,786,2012,KIDNAPPING & ABDUCTION,Jharkhand
1104,217,2001,DOWRY DEATH,Jharkhand
1105,275,2002,DOWRY DEATH,Jharkhand
1106,262,2003,DOWRY DEATH,Jharkhand
1107,275,2004,DOWRY DEATH,Jharkhand
1108,257,2005,DOWRY DEATH,Jharkhand
1109,281,2006,DOWRY DEATH,Jharkhand
1110,303,2007,DOWRY DEATH,Jharkhand
1111,266,2008,DOWRY DEATH,Jharkhand
1112,295,2009,DOWRY DEATH,Jharkhand
1113,276,2010,DOWRY DEATH,Jharkhand
1114,282,2011,DOWRY DEATH,Jharkhand
1115,302,2012,DOWRY DEATH,Jharkhand
1116,297,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1117,411,2002,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1118,424,2003,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1119,411,2004,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1120,293,2005,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1121,414,2006,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1122,342,2007,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1123,271,2008,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1124,276,2009,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1125,245,2010,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1126,317,2011,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1127,284,2012,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Jharkhand
1128,5,2001,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1129,3,2002,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1130,2,2003,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1131,3,2004,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1132,36,2005,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1133,44,2006,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1134,15,2007,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1135,23,2008,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1136,83,2009,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1137,16,2010,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1138,7,2011,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1139,10,2012,INSULT TO THE MODESTY OF WOMEN,Jharkhand
1140,484,2001,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1141,588,2002,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1142,559,2003,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1143,588,2004,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1144,590,2005,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1145,668,2006,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1146,801,2007,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1147,851,2008,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1148,710,2009,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1149,650,2010,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1150,659,2011,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1151,1261,2012,CRUELTY BY HUSBAND OR RELATIVES,Jharkhand
1152,3,2001,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1153,3,2002,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1154,6,2003,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1155,3,2004,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1156,13,2005,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1157,11,2006,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1158,14,2007,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1159,8,2008,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1160,1,2009,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1161,13,2010,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1162,15,2011,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1163,12,2012,IMMORAL TRAFFIC(PREVENTION)ACT,Jharkhand
1164,0,2001,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1165,0,2002,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1166,0,2003,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1167,0,2004,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1168,2,2005,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1169,2,2006,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1170,0,2007,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1171,0,2008,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1172,0,2009,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1173,6,2010,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1174,0,2011,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1175,0,2012,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Jharkhand
1176,2229,2001,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1177,2490,2002,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1178,2488,2003,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1179,2490,2004,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1180,2544,2005,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1181,2979,2006,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1182,3317,2007,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1183,3183,2008,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1184,3021,2009,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1185,3087,2010,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1186,3132,2011,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1187,4536,2012,TOTAL CRIMES AGAINST WOMEN,Jharkhand
1188,293,2001,RAPE,Karnataka
1189,292,2002,RAPE,Karnataka
1190,321,2003,RAPE,Karnataka
1191,291,2004,RAPE,Karnataka
1192,343,2005,RAPE,Karnataka
1193,400,2006,RAPE,Karnataka
1194,436,2007,RAPE,Karnataka
1195,446,2008,RAPE,Karnataka
1196,509,2009,RAPE,Karnataka
1197,586,2010,RAPE,Karnataka
1198,636,2011,RAPE,Karnataka
1199,621,2012,RAPE,Karnataka
1200,271,2001,KIDNAPPING & ABDUCTION,Karnataka
1201,300,2002,KIDNAPPING & ABDUCTION,Karnataka
1202,244,2003,KIDNAPPING & ABDUCTION,Karnataka
1203,286,2004,KIDNAPPING & ABDUCTION,Karnataka
1204,312,2005,KIDNAPPING & ABDUCTION,Karnataka
1205,328,2006,KIDNAPPING & ABDUCTION,Karnataka
1206,390,2007,KIDNAPPING & ABDUCTION,Karnataka
1207,405,2008,KIDNAPPING & ABDUCTION,Karnataka
1208,408,2009,KIDNAPPING & ABDUCTION,Karnataka
1209,586,2010,KIDNAPPING & ABDUCTION,Karnataka
1210,715,2011,KIDNAPPING & ABDUCTION,Karnataka
1211,1070,2012,KIDNAPPING & ABDUCTION,Karnataka
1212,220,2001,DOWRY DEATH,Karnataka
1213,233,2002,DOWRY DEATH,Karnataka
1214,194,2003,DOWRY DEATH,Karnataka
1215,259,2004,DOWRY DEATH,Karnataka
1216,261,2005,DOWRY DEATH,Karnataka
1217,244,2006,DOWRY DEATH,Karnataka
1218,251,2007,DOWRY DEATH,Karnataka
1219,259,2008,DOWRY DEATH,Karnataka
1220,264,2009,DOWRY DEATH,Karnataka
1221,248,2010,DOWRY DEATH,Karnataka
1222,267,2011,DOWRY DEATH,Karnataka
1223,218,2012,DOWRY DEATH,Karnataka
1224,1665,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1225,1648,2002,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1226,1585,2003,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1227,1435,2004,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1228,1585,2005,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1229,1683,2006,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1230,1828,2007,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1231,1954,2008,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1232,2186,2009,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1233,2544,2010,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1234,2608,2011,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1235,2978,2012,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Karnataka
1236,81,2001,INSULT TO THE MODESTY OF WOMEN,Karnataka
1237,100,2002,INSULT TO THE MODESTY OF WOMEN,Karnataka
1238,84,2003,INSULT TO THE MODESTY OF WOMEN,Karnataka
1239,57,2004,INSULT TO THE MODESTY OF WOMEN,Karnataka
1240,71,2005,INSULT TO THE MODESTY OF WOMEN,Karnataka
1241,38,2006,INSULT TO THE MODESTY OF WOMEN,Karnataka
1242,28,2007,INSULT TO THE MODESTY OF WOMEN,Karnataka
1243,44,2008,INSULT TO THE MODESTY OF WOMEN,Karnataka
1244,64,2009,INSULT TO THE MODESTY OF WOMEN,Karnataka
1245,83,2010,INSULT TO THE MODESTY OF WOMEN,Karnataka
1246,81,2011,INSULT TO THE MODESTY OF WOMEN,Karnataka
1247,100,2012,INSULT TO THE MODESTY OF WOMEN,Karnataka
1248,1755,2001,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1249,1826,2002,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1250,1704,2003,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1251,1588,2004,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1252,1883,2005,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1253,2129,2006,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1254,2507,2007,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1255,2638,2008,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1256,3185,2009,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1257,3441,2010,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1258,3712,2011,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1259,3684,2012,CRUELTY BY HUSBAND OR RELATIVES,Karnataka
1260,1356,2001,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1261,1388,2002,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1262,1361,2003,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1263,1170,2004,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1264,1241,2005,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1265,786,2006,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1266,612,2007,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1267,516,2008,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1268,329,2009,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1269,242,2010,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1270,351,2011,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1271,335,2012,IMMORAL TRAFFIC(PREVENTION)ACT,Karnataka
1272,0,2001,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1273,0,2002,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1274,0,2003,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1275,0,2004,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1276,0,2005,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1277,0,2006,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1278,0,2007,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1279,0,2008,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1280,1,2009,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1281,0,2010,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1282,2,2011,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1283,0,2012,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Karnataka
1284,6002,2001,TOTAL CRIMES AGAINST WOMEN,Karnataka
1285,6170,2002,TOTAL CRIMES AGAINST WOMEN,Karnataka
1286,5834,2003,TOTAL CRIMES AGAINST WOMEN,Karnataka
1287,5423,2004,TOTAL CRIMES AGAINST WOMEN,Karnataka
1288,6057,2005,TOTAL CRIMES AGAINST WOMEN,Karnataka
1289,6084,2006,TOTAL CRIMES AGAINST WOMEN,Karnataka
1290,6569,2007,TOTAL CRIMES AGAINST WOMEN,Karnataka
1291,6891,2008,TOTAL CRIMES AGAINST WOMEN,Karnataka
1292,7852,2009,TOTAL CRIMES AGAINST WOMEN,Karnataka
1293,8807,2010,TOTAL CRIMES AGAINST WOMEN,Karnataka
1294,9594,2011,TOTAL CRIMES AGAINST WOMEN,Karnataka
1295,10366,2012,TOTAL CRIMES AGAINST WOMEN,Karnataka
1296,562,2001,RAPE,Kerala
1297,499,2002,RAPE,Kerala
1298,394,2003,RAPE,Kerala
1299,480,2004,RAPE,Kerala
1300,478,2005,RAPE,Kerala
1301,601,2006,RAPE,Kerala
1302,512,2007,RAPE,Kerala
1303,568,2008,RAPE,Kerala
1304,568,2009,RAPE,Kerala
1305,634,2010,RAPE,Kerala
1306,1132,2011,RAPE,Kerala
1307,1019,2012,RAPE,Kerala
1308,97,2001,KIDNAPPING & ABDUCTION,Kerala
1309,91,2002,KIDNAPPING & ABDUCTION,Kerala
1310,102,2003,KIDNAPPING & ABDUCTION,Kerala
1311,142,2004,KIDNAPPING & ABDUCTION,Kerala
1312,129,2005,KIDNAPPING & ABDUCTION,Kerala
1313,202,2006,KIDNAPPING & ABDUCTION,Kerala
1314,177,2007,KIDNAPPING & ABDUCTION,Kerala
1315,166,2008,KIDNAPPING & ABDUCTION,Kerala
